 25.290001 25.290001
7 200.309998 200.309998
8 200.320007 200.320007
9 274.309998 274.309998
10 296.309998 296.309998
7 296.309998 296.309998
10 296.309998 296.309998
10 340.309998 340.309998
13 469.309998 469.309998
16 553.309998 553.309998
16 635.309998 635.309998
19 675.309998 675.309998
19 714.309998 714.309998
18 714.309998 714.309998
18 714.309998 714.309998
23 786.309998 786.309998
25 961.330017 961.330017
27 995.330017 995.330017
29 1028.339966 1028.339966
33 1156.339966 1156.339966
38 1311.339966 1311.339966
37 1311.339966 1311.339966
35 1311.339966 1311.339966
39 1367.339966 1367.339966
43 1421.339966 1421.339966
43 1447.339966 1447.339966
45 1572.339966 1572.339966
51 1620.339966 1620.339966
51 1666.339966 1666.339966
54 1776.339966 1776.339966
55 1776.339966 1776.339966
60 1867.560059 1867.560059
60 1868.050049 1868.050049
60 1876.050049 1876.050049
60 1876.050049 1876.050049
63 1908.050049 1908.050049
64 1938.050049 1938.050049
66 1938.050049 1938.050049
67 1964.050049 1964.050049
68 2000.050049 2000.050049
69 2011.050049 2011.050049
73 2021.050049 2021.050049
73 2035.040039 2035.040039
75 2039.040039 2039.040039
74 2039.040039 2039.040039
75 2039.040039 2039.040039
76 2049.040039 2049.040039
76 2057.040039 2057.040039
80 2060.040039 2060.040039
79 2060.040039 2060.040039
79 2062.040039 2062.040039
4120
