 100.010002 100.010002
3 100.019997 100.019997
7 496.089996 496.089996
14 986.099976 986.099976
14 1083.099976 1083.099976
13 1083.099976 1083.099976
13 1178.099976 1178.099976
15 1272.099976 1272.099976
17 1272.099976 1272.099976
16 1272.099976 1272.099976
18 1636.099976 1636.099976
20 1636.099976 1636.099976
21 1725.099976 1725.099976
25 2077.100098 2077.100098
26 2077.100098 2077.100098
25 2077.100098 2077.100098
30 2502.100098 2502.100098
32 2502.100098 2502.100098
33 2834.100098 2834.100098
37 3244.100098 3244.100098
41 3487.100098 3487.100098
44 3647.110107 3647.110107
47 3805.110107 3805.110107
45 3805.110107 3805.110107
48 3805.110107 3805.110107
47 3805.110107 3805.110107
47 3805.110107 3805.110107
47 3879.110107 3879.110107
48 3952.110107 3952.110107
48 3952.110107 3952.110107
51 4236.129883 4236.129883
57 4586.149902 4586.149902
59 4724.149902 4724.149902
62 4826.640137 4826.640137
65 4994.140137 4994.140137
69 5324.149902 5324.149902
69 5454.149902 5454.149902
72 5582.149902 5582.149902
71 5582.149902 5582.149902
75 5706.149902 5706.149902
77 5767.149902 5767.149902
74 5827.149902 5827.149902
82 6063.149902 6063.149902
82 6179.149902 6179.149902
83 6236.149902 6236.149902
84 6348.149902 6348.149902
86 6348.149902 6348.149902
88 6564.149902 6564.149902
93 6670.149902 6670.149902
98 6930.180176 6930.180176
97 6930.180176 6930.180176
95 6930.180176 6930.180176
99 7077.180176 7077.180176
102 7221.180176 7221.180176
102 7268.180176 7268.180176
106 7360.180176 7360.180176
109 7450.180176 7450.180176
111 7538.180176 7538.180176
113 7624.189941 7624.189941
116 7792.189941 7792.189941
118 7874.189941 7874.189941
117 7874.189941 7874.189941
122 8069.189941 8069.189941
125 8145.189941 8145.189941
125 8219.190430 8219.190430
126 8219.190430 8219.190430
129 8289.190430 8289.190430
131 8425.200195 8425.200195
134 8491.209961 8491.209961
136 8491.219727 8491.219727
136 8522.230469 8522.230469
135 8552.240234 8552.240234
136 8581.250000 8581.250000
136 8581.259766 8581.259766
142 8716.269531 8716.269531
143 8742.280273 8742.280273
144 8742.290039 8742.290039
144 8766.299805 8766.299805
143 8766.309570 8766.309570
147 8810.320312 8810.320312
149 8894.330078 8894.330078
150 8914.339844 8914.339844
157 9009.349609 9009.349609
157 9027.349609 9027.349609
160 9095.360352 9095.360352
162 9111.370117 9111.370117
168 9186.379883 9186.379883
171 9256.389648 9256.389648
174 9295.400391 9295.400391
178 9307.410156 9307.410156
180 9329.419922 9329.419922
179 9339.429688 9339.429688
181 9375.440430 9375.440430
189 9407.450195 9407.450195
188 9414.459961 9414.459961
189 9420.469727 9420.469727
190 9425.480469 9425.480469
192 9425.490234 9425.490234
194 9437.500000 9437.500000
200 9447.509766 9447.509766
201 9448.519531 9448.519531
18895
